'id','ico','tx_type','wallet_from','wallet_to','unknown_address_from','block_num','tx_index_in_block','currency','txid','value','price_feed','tokens_to_receive','reject_cases','confirmed_date'
'76','SYNCO-1st Pre-sale','Deposit','0x69a19E8f859cB7e3f5b4703315BBD63D7b1803C6','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5769471','27','ETH','0xcf5418f2d88645d0e017a661438c54386078d8ec19dacb8694dd68db94e9dfe1','1.450000000000000000','85971/2018-06-11 00:00:00','124657.950000000000000000','[]','June 11, 2018, 9:20 a.m.'
'75','SYNCO-1st Pre-sale','Deposit','0xcEd5a85B44aC9AB5945F49CC1C793a67C4C8AdD2','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5769415','226','ETH','0xddea77cf8803c6cb0c88c149b7f09f720abb48bdec9b5a73dde1671b2bb19c03','3.000000000000000000','85971/2018-06-11 00:00:00','257913.000000000000000000','[]','June 11, 2018, 9:05 a.m.'
'74','SYNCO-1st Pre-sale','Deposit','0x7E3Fd775b24558CAa7FEd60aFc1C00cEdC2cb122','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5768266','68','ETH','0x5f10a9bf5bdc785e71e4d7fe18d9b86b84aa4f21fd979c265f104212cfdeddd2','6.000000000000000000','85971/2018-06-11 00:00:00','515826.000000000000000000','[]','June 11, 2018, 4:10 a.m.'
'73','SYNCO-1st Pre-sale','Deposit','0x8d4821B89D4625bF6a89E6A617922A526C8058Ba','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5764161','58','ETH','0x87ab0878a6379fe1938ede6be7d63909db55a3466eea8b246fb7c991fd39ad22','1.006800000000000000','90747/2018-06-10 00:00:00','91364.079600000000000000','[]','June 10, 2018, 10:40 a.m.'
'72','SYNCO-1st Pre-sale','Deposit','0x0eBe26F8e72bc461d18385d97fAF57dFeeC10e61','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5763786','22','ETH','0x59aa14f2d01651f60d0e830daff71345fc289ea79d31b2a7430fbf6dc1deb811','10.099139000000000000','90747/2018-06-10 00:00:00','916466.566833000000000000','[]','June 10, 2018, 9:06 a.m.'
'71','SYNCO-1st Pre-sale','Deposit','0x00eEE0Bb6Bd0F86722AaA43E127cE59F54D295De','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5759333','11','ETH','0x1050b019f1b391cf1a4006eb82f62d689d24c77202ee5baa8f5ea505160228ba','0.059024300000000000','90299/2018-06-09 00:00:00','5329.835265700000000000','[]','June 9, 2018, 1:58 p.m.'
'70','SYNCO-1st Pre-sale','Deposit','0x00eEE0Bb6Bd0F86722AaA43E127cE59F54D295De','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5759264','106','ETH','0xbfafe35d693d48e91c1ec8f56f45c687fdde98eba37dbab3a574a9bc917231ee','1.360000000000000000','90299/2018-06-09 00:00:00','122806.640000000000000000','[]','June 9, 2018, 1:40 p.m.'
'69','SYNCO-1st Pre-sale','Deposit','0x76E1bADD69b79786C533C4c031C067e5A33D113e','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5759186','9','ETH','0x139aa6c28db77ee76924f56703f46da08016c1384c73edd920cb81409edc2609','2.000000000000000000','90299/2018-06-09 00:00:00','180598.000000000000000000','[]','June 9, 2018, 1:22 p.m.'
'68','SYNCO-1st Pre-sale','Deposit','0xbFF73466159e5492Cb4C0b4A2214820A84417E15','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5755940','32','ETH','0x8cad77736fbac30001635a68d092bf4bf50a8ebbe74b0bec5e6ae31593425efa','2.000000000000000000','91195/2018-06-08 00:00:00','182390.000000000000000000','[]','June 8, 2018, 11:29 p.m.'
'67','SYNCO-1st Pre-sale','Deposit','0x78f27C1Dc120767E745f76865F5C4EA385Cb830a','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5753704','111','ETH','0x563c49063731c01fe5b4b216d625d362ea78310676c26899464b0008915afbca','1.000000000000000000','91195/2018-06-08 00:00:00','91195.000000000000000000','[]','June 8, 2018, 2:10 p.m.'
